Team color is 1
playground size: a = 1.97854, b = 3.01975
post 0: [ 0	0 ]
post 1: [ 3.01975	-2.22045e-16 ]
post 4: [ -0.00949195	1.97852 ]
post 5: [ 3.01975	1.97854 ]
post 6: [ 2.22045e-16	2.96781 ]
post 7: [ 3.01975	2.96781 ]
post 8: [ 2.22045e-16	3.95708 ]
post 9: [ 3.01975	3.95708 ]
post 12: [ 4.44089e-16	5.93562 ]
post 13: [ 3.01975	5.93562 ]
